273,https://www.transfermarkt.com/carles-gil/profil/spieler/127987,400000,Elche CF,"Dec 2, 2012"
296,https://www.transfermarkt.com/claudio-gomes/profil/spieler/395239,400000,PSV Eindhoven U21,"Oct 28, 2019"
305,https://www.transfermarkt.com/conor-hourihane/profil/spieler/61653,400000,Barnsley FC,"Oct 16, 2015"
333,https://www.transfermarkt.com/cristian-cuevas/profil/spieler/186863,400000,Huachipato FC,"Mar 11, 2021"
399,https://www.transfermarkt.com/diego-cavalieri/profil/spieler/53231,400000,Botafogo de Futebol e Regatas,"Apr 8, 2020"
400,https://www.transfermarkt.com/diego-cavalieri/profil/spieler/53231,400000,Botafogo de Futebol e Regatas,"Sep 9, 2020"
477,https://www.transfermarkt.com/etienne-capoue/profil/spieler/63494,400000,FC Toulouse,"May 5, 2008"
684,https://www.transfermarkt.com/jesus-vallejo/profil/spieler/251896,400000,Real Zaragoza,"Jan 8, 2015"
717,https://www.transfermarkt.com/joel-robles/profil/spieler/101118,400000,Atl E9tico Madrid,"May 17, 2010"
948,https://www.transfermarkt.com/leon-clarke/profil/spieler/36859,400000,Sheffield United,"Sep 18, 2017"
1042,https://www.transfermarkt.com/marko-arnautovic/profil/spieler/41384,400000,Twente Enschede FC,"Sep 20, 2007"
1138,https://www.transfermarkt.com/mesut-ozil/profil/spieler/35664,400000,FC Schalke 04,"Oct 9, 2006"
1232,https://www.transfermarkt.com/neeskens-kebano/profil/spieler/111422,400000,Paris Saint Germain,"May 23, 2012"
1233,https://www.transfermarkt.com/neeskens-kebano/profil/spieler/111422,400000,SM Caen,"Jan 4, 2013"
1234,https://www.transfermarkt.com/neeskens-kebano/profil/spieler/111422,400000,SM Caen,"May 29, 2013"
1348,https://www.transfermarkt.com/patrick-cutrone/profil/spieler/265078,400000,AC Milan,"Jan 18, 2017"
1398,https://www.transfermarkt.com/rachid-ghezzal/profil/spieler/118287,400000,Olympique Lyon,"Jul 25, 2012"
1434,https://www.transfermarkt.com/ravel-morrison/profil/spieler/128907,400000,SS Lazio,"Dec 20, 2018"
1446,https://www.transfermarkt.com/romelu-lukaku/profil/spieler/96341,400000,RSC Anderlecht U17,"May 27, 2009"
1608,https://www.transfermarkt.com/sead-kolasinac/profil/spieler/94005,400000,FC Schalke 04,"Oct 23, 2012"
1656,https://www.transfermarkt.com/simon-mignolet/profil/spieler/50219,400000,Sint Truidense VV,"Oct 9, 2008"
1793,https://www.transfermarkt.com/stewart-downing/profil/spieler/4063,400000,Without Club,"Oct 15, 2020"
1806,https://www.transfermarkt.com/stuart-okeefe/profil/spieler/93626,400000,Gillingham FC,"Apr 8, 2020"
1808,https://www.transfermarkt.com/sven-kums/profil/spieler/42735,400000,KV Kortrijk,"Sep 11, 2008"
1899,https://www.transfermarkt.com/tony-andreu/profil/spieler/87789,400000,St. Mirren FC,"Aug 20, 2019"
1900,https://www.transfermarkt.com/tony-andreu/profil/spieler/87789,400000,St. Mirren FC,"Feb 5, 2020"
2021,https://www.transfermarkt.com/youssouf-mulumbu/profil/spieler/45272,400000,Kilmarnock FC,"Jan 18, 2021"
198,https://www.transfermarkt.com/brad-guzan/profil/spieler/39471,425000,CD Chivas USA,"Apr 18, 2007"
266,https://www.transfermarkt.com/brown-ideye/profil/spieler/64308,425000,G F6ztepe,"Mar 16, 2021"
298,https://www.transfermarkt.com/claudio-gomes/profil/spieler/395239,450000,PSV Eindhoven U21,"Jun 29, 2020"
306,https://www.transfermarkt.com/conor-hourihane/profil/spieler/61653,450000,Barnsley FC,"May 30, 2016"
331,https://www.transfermarkt.com/cristian-cuevas/profil/spieler/186863,450000,Huachipato FC,"Apr 8, 2020"
332,https://www.transfermarkt.com/cristian-cuevas/profil/spieler/186863,450000,Huachipato FC,"Nov 10, 2020"
335,https://www.transfermarkt.com/cucho/profil/spieler/459463,450000,CD Am E9rica de Cali,"Jan 31, 2017"
658,https://www.transfermarkt.com/jakob-haugaard/profil/spieler/138335,450000,AIK,"Dec 10, 2020"
946,https://www.transfermarkt.com/leon-clarke/profil/spieler/36859,450000,Bury FC,"May 30, 2016"
